Id,Name,Age,Nationality,Team,Contract,Height,Weight,Preferred Foot,Overall,Potential,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Total Stats,Base Stats,International Reputation
228675,D. Barinov,24,Russia,FC Lokomotiv Moscow,"
2013 ~ 2023",179cm,72kg,Right,75,82,76,CDM,7,"Apr 17, 2013",N/A,€10.5M,€33K,1864,401,1 
199493,Diego Mariño,31,Spain,Real Sporting de Gijón,"
2016 ~ 2023",187cm,77kg,Right,75,75,75,GK,0,"Jul 1, 2016",N/A,€3M,€8K,1303,416,1 
230213,Kaíqundo Calado,25,Brazil,São Paulo,"
2021 ~ 2024",184cm,77kg,Right,75,75,75,RB,0,"Jul 8, 2021",N/A,€5.5M,€29K,1875,413,1 
233029,R. Aliendro,30,Argentina,Club Atlético Colón,"
2019 ~ 2022",177cm,68kg,Right,75,75,75,CM,0,"Jul 3, 2019",N/A,€5.5M,€14K,2087,443,1 
200519,Pulido,30,Spain,SD Huesca,"
2017 ~ 2022",186cm,72kg,Right,75,75,75,CB,0,"Jul 7, 2017",N/A,€4.6M,€12K,1626,347,1 
205895,A. Ring,30,Finland,Austin FC,"
2021 ~ 2022",175cm,73kg,Right,75,75,75,CDM,0,"Jan 1, 2021",N/A,€4.7M,€8K,2005,428,1 
179527,L. Rémy,34,France,Çaykur Rizespor,"
2020 ~ 2022",185cm,82kg,Right,75,75,75,ST,0,"Aug 28, 2020",N/A,€2.7M,€16K,1868,388,2 
226376,Kaku,26,Paraguay,Al Taawoun,"
2021 ~ 2024",171cm,68kg,Left,75,77,77,CAM,2,"Feb 1, 2021",N/A,€7M,€24K,1943,417,2 
234824,Y. Wissa,24,Congo DR,Brentford,"
2021 ~ 2025",176cm,74kg,Right,75,79,76,RM,4,"Aug 10, 2021",N/A,€8M,€37K,1837,400,1 
210761,R. Pizarro,27,Mexico,Inter Miami CF,"
2020 ~ 2021",175cm,71kg,Right,75,75,75,CAM,0,"Feb 12, 2020",N/A,€6M,€9K,1971,417,2 
219466,B. Meling,26,Norway,Stade Rennais FC,"
2021 ~ 2024",174cm,64kg,Left,75,77,77,LWB,2,"Jul 20, 2021",N/A,€6.5M,€36K,1937,414,2 
212811,M. Lemina,27,Gabon,OGC Nice,"
2021 ~ 2024",184cm,85kg,Right,75,76,76,CM,1,"Jul 24, 2021",N/A,€6.5M,€29K,2064,435,2 
226379,M. Díaz,35,Argentina,Club Atlético Huracán,"
2021 ~ 2023",187cm,87kg,Right,75,75,75,GK,0,"Jul 14, 2021",N/A,€625K,€7K,1194,409,1 
230219,Estevão Candeira,25,Brazil,Flamengo,"
2021 ~ 2024",176cm,73kg,Right,75,75,75,RB,0,"Jul 7, 2021",N/A,€5.5M,€29K,1949,413,1 
226380,Hwang Hee Chan,25,Korea Republic,RB Leipzig,"
2020 ~ 2025",177cm,77kg,Right,75,78,79,CAM,3,"Jul 15, 2020",N/A,€7.5M,€58K,1892,404,1 
229453,Gil Dias,24,Portugal,SL Benfica,"
2021 ~ 2026",183cm,78kg,Left,75,80,76,LM,5,"Jun 25, 2021",N/A,€8.5M,€11K,1951,422,1 
178253,Ivo,34,Brazil,Henan Songshan Longmen FC,"
2018 ~ 2021",173cm,65kg,Left,75,75,76,LM,0,"Jun 18, 2018",N/A,€2.6M,€15K,1987,413,1 
185422,J. King,29,Norway,Watford,"
2021 ~ 2023",184cm,82kg,Right,75,75,75,ST,0,"Jul 9, 2021",N/A,€5.5M,€52K,1909,407,1 
251470,C. De Ketelaere,20,Belgium,Club Brugge KV,"
2018 ~ 2023",192cm,79kg,Left,75,85,78,CAM,10,"Jul 1, 2018",N/A,€12.5M,€19K,1998,430,1 
199247,Álex Fernández,28,Spain,Cádiz CF,"
2017 ~ 2022",182cm,72kg,Right,75,75,76,CM,0,"Aug 7, 2017",N/A,€5.5M,€28K,2026,411,1 
152912,J. Sand,40,Argentina,Club Atlético Lanús,"
2019 ~ 2022",182cm,79kg,Right,75,75,75,ST,0,"Jan 21, 2019",N/A,€0,€13K,1803,366,1 
230224,Juli Freitinho,21,Brazil,Bahia,"
2021 ~ 2024",192cm,91kg,Right,75,75,75,CB,0,"Jun 30, 2021",N/A,€6M,€9K,1674,350,1 
183376,L. Fejsa,32,Serbia,Al Ahli,"
2020 ~ 2022",183cm,80kg,Right,75,75,76,CB,0,"Sep 24, 2020",N/A,€3.7M,€32K,1870,393,2 
207441,L. Vietto,27,Argentina,Al Hilal,"
2020 ~ 2023",173cm,65kg,Right,75,75,76,RW,0,"Oct 24, 2020",N/A,€6M,€35K,1978,408,2 
223058,D. Kuzyaev,28,Russia,,"
Free",182cm,74kg,Right,75,75,75,CM,0,"Jul 1, 2017",N/A,€0,€0,2032,436,1 
223570,J. Sambia,24,France,Montpellier Hérault SC,"
2018 ~ 2022",185cm,73kg,Right,75,80,76,RWB,5,"Jul 1, 2018",N/A,€8M,€19K,2058,431,1 
246098,Vítor Tormena,25,Brazil,SC Braga,"
2019 ~ 2024",192cm,84kg,Right,75,78,77,CB,3,"Jul 1, 2019",N/A,€6.5M,€12K,1598,360,1 
225363,Rúben Lameiras,26,Portugal,Vitória de Guimarães,"
2021 ~ 2024",175cm,70kg,Left,75,76,76,CAM,1,"Jan 8, 2021",N/A,€6.5M,€12K,1939,404,1 
180819,A. Lallana,33,England,Brighton & Hove Albion,"
2020 ~ 2023",178cm,73kg,Right,75,75,77,CAM,0,"Jul 27, 2020",N/A,€3.5M,€49K,1997,412,2 
193107,Paulo Victor,34,Brazil,Clube Sport Marítimo,"
2021 ~ 2023",187cm,79kg,Left,75,75,75,GK,0,"Aug 6, 2021",N/A,€950K,€8K,1114,413,1 
219732,G. Nkoudou,26,France,Beşiktaş JK,"
2019 ~ 2023",175cm,72kg,Right,75,76,76,RW,1,"Aug 22, 2019",N/A,€6.5M,€38K,1857,402,1 
194644,Montoya,30,Spain,Real Betis Balompié,"
2020 ~ 2024",175cm,73kg,Right,75,75,75,RB,0,"Aug 25, 2020",N/A,€4.8M,€20K,1991,417,2 
261204,M. Uzuni,26,Albania,Ferencvárosi TC,"
2020 ~ 2024",178cm,64kg,Right,75,75,75,LW,0,"Aug 7, 2020",N/A,€6M,€1K,1808,388,1 
221269,J. Riedewald,24,Netherlands,Crystal Palace,"
2017 ~ 2024",182cm,79kg,Left,75,78,76,CDM,3,"Jul 24, 2017",N/A,€7M,€36K,1923,403,1 
223061,F. Cervi,27,Argentina,RC Celta de Vigo,"
2021 ~ 2024",165cm,62kg,Left,75,75,75,LM,0,"Jul 5, 2021",N/A,€6M,€22K,1923,404,2 
233301,R. Kristensen,23,Denmark,FC Red Bull Salzburg,"
2019 ~ 2025",187cm,75kg,Right,75,80,75,RB,5,"Jul 19, 2019",N/A,€8M,€20K,1944,420,1 
201046,R. Saponara,29,Italy,Fiorentina,"
2018 ~ 2022",184cm,73kg,Right,75,75,75,CAM,0,"Jul 2, 2018",N/A,€5.5M,€46K,1821,388,2 
221014,Carlos Fernández,25,Spain,Real Sociedad,"
2021 ~ 2026",186cm,72kg,Left,75,80,77,ST,5,"Jan 24, 2021",N/A,€8.5M,€29K,1769,384,1 
185174,A. Poli,31,Italy,Antalyaspor,"
2021 ~ 2024",182cm,77kg,Right,75,75,75,CDM,0,"Jul 22, 2021",N/A,€3.9M,€16K,1999,417,2 
192086,A. Kokorin,30,Russia,Fiorentina,"
2021 ~ 2024",184cm,83kg,Right,75,75,76,ST,0,"Jan 27, 2021",N/A,€5.5M,€48K,1959,411,2 
201303,R. Falk,29,Denmark,F.C. København,"
2016 ~ 2025",177cm,65kg,Right,75,75,77,RM,0,"Jul 1, 2016",N/A,€5.5M,€21K,2072,442,1 
183895,M. Moralez,34,Argentina,New York City FC,"
2017 ~ 2021",158cm,56kg,Right,75,75,75,CAM,0,"Feb 15, 2017",N/A,€2.6M,€9K,1906,394,2 
185431,N. Kalinić,33,Croatia,Hellas Verona,"
2020 ~ 2022",187cm,79kg,Right,75,75,75,ST,0,"Oct 5, 2020",N/A,€3.6M,€27K,1811,383,3 
221016,N. Vukčević,29,Montenegro,Levante Unión Deportiva,"
2018 ~ 2022",184cm,76kg,Left,75,75,78,CDM,0,"Aug 9, 2018",N/A,€5.5M,€26K,1967,411,1 
253272,K. Dawson,29,Uruguay,Club Atlético Peñarol,"
2018 ~ 2022",179cm,81kg,Right,75,77,75,GK,2,"Jan 1, 2018",N/A,€4.7M,€950,1175,396,1 
183129,C. Clark,31,Republic of Ireland,Newcastle United,"
2016 ~ 2023",185cm,88kg,Left,75,75,75,CB,0,"Aug 3, 2016",N/A,€3.8M,€33K,1741,359,2 
205402,J. Boëtius,27,Netherlands,1. FSV Mainz 05,"
2018 ~ 2022",178cm,73kg,Right,75,76,77,RM,1,"Aug 27, 2018",N/A,€6.5M,€23K,1927,403,2 
207707,Marçal,32,Brazil,Wolverhampton Wanderers,"
2020 ~ 2022",178cm,72kg,Left,75,75,75,LB,0,"Sep 6, 2020",N/A,€3.9M,€58K,1952,416,2 
242267,J. Campuzano,25,Colombia,Boca Juniors,"
2019 ~ 2023",175cm,69kg,Right,75,81,76,CDM,6,"Jan 21, 2019",N/A,€8M,€14K,1788,389,1 
229980,C. Montes,24,Mexico,CF Monterrey ,"
2015 ~ 2022",191cm,70kg,Right,75,83,77,CB,8,"Jul 1, 2015",N/A,€11.5M,€33K,1799,381,1 
183900,D. Perotti,32,Argentina,Fenerbahçe SK,"
2020 ~ 2022",179cm,70kg,Right,75,75,75,LM,0,"Oct 5, 2020",N/A,€4.5M,€41K,1830,385,3 
176733,M. Berg,34,Sweden,IFK Göteborg,"
2021 ~ 2023",184cm,74kg,Right,75,75,75,ST,0,"Jul 15, 2021",N/A,€2.7M,€7K,1829,387,1 
216158,S. Widmer,28,Switzerland,1. FSV Mainz 05,"
2021 ~ 2024",183cm,79kg,Right,75,75,75,RB,0,"Jul 9, 2021",N/A,€5M,€22K,1989,430,2 
215135,L. Sigali,34,Argentina,Racing Club,"
2018 ~ 2022",181cm,74kg,Right,75,75,75,CB,0,"Jan 19, 2018",N/A,€1.8M,€17K,1716,370,1 
202848,G. Caprari,27,Italy,U.C. Sampdoria,"
2017 ~ 2023",176cm,72kg,Right,75,75,76,RW,0,"Jul 1, 2017",N/A,€6M,€21K,1743,374,2 
252000,D. Bradarić,21,Croatia,LOSC Lille,"
2019 ~ 2024",178cm,69kg,Left,75,81,75,LB,6,"Jul 19, 2019",N/A,€8.5M,€20K,1904,415,1 
246113,Adrià Pedrosa,23,Spain,RCD Espanyol de Barcelona,"
2017 ~ 2023",176cm,69kg,Left,75,82,76,LM,7,"Jul 1, 2017",N/A,€10.5M,€14K,1964,431,1 
203106,L. Bittencourt,27,Germany,SV Werder Bremen,"
2020 ~ 2024",170cm,62kg,Right,75,75,75,CAM,0,"Jul 1, 2020",N/A,€6M,€13K,2005,413,2 
203362,M. Elyounoussi,26,Norway,Southampton,"
2018 ~ 2023",178cm,70kg,Right,75,75,75,LM,0,"Jun 29, 2018",N/A,€6M,€46K,1994,420,1 
236898,M. Aebischer,24,Switzerland,BSC Young Boys,"
2015 ~ 2022",183cm,74kg,Right,75,80,77,CM,5,"Jul 1, 2015",N/A,€8.5M,€15K,1990,427,1 
236899,A. Sobolev,24,Russia,Spartak Moskva,"
2020 ~ 2024",195cm,85kg,Right,75,80,77,ST,5,"Jul 1, 2020",N/A,€8.5M,€45K,1802,389,1 
221284,J. Gradit,28,France,Racing Club de Lens,"
2019 ~ 2024",180cm,75kg,Right,75,76,76,CB,1,"Aug 20, 2019",N/A,€5.5M,€26K,1757,383,1 
229476,W. Anton,24,Germany,VfB Stuttgart,"
2020 ~ 2024",189cm,84kg,Right,75,78,77,CB,3,"Jul 28, 2020",N/A,€7M,€20K,1782,388,1 
230244,Leo Vimieiro,25,Brazil,São Paulo,"
2021 ~ 2024",168cm,66kg,Left,75,75,75,LB,0,"Jul 8, 2021",N/A,€5.5M,€29K,1913,406,1 
191076,J. Guðmundsson,30,Iceland,Burnley,"
2016 ~ 2023",179cm,77kg,Left,75,75,75,RM,0,"Jul 20, 2016",N/A,€5.5M,€32K,2028,419,1 
230502,Dênildo Stein,37,Brazil,Ceará Sporting Club,"
2021 ~ 2024",180cm,71kg,Left,75,75,75,ST,0,"Jul 7, 2021",N/A,€1.9M,€12K,1789,380,1 
190824,O. Elabdellaoui,29,Norway,Galatasaray SK,"
2020 ~ 2023",177cm,74kg,Right,75,75,75,RB,0,"Aug 17, 2020",N/A,€4.9M,€45K,1983,422,1 
202089,L. Mejía,30,Panama,Centro Atlético Fénix,"
2021 ~ 2021",190cm,80kg,Left,75,75,75,GK,0,"Apr 3, 2021",N/A,€3.7M,€600,1305,416,1 
210281,C. Pellerano,39,Argentina,Independiente del Valle,"
2018 ~ 2021",184cm,74kg,Right,75,75,75,CDM,0,"Jan 31, 2018",N/A,€1.1M,€700,1866,396,1 
202858,F. Castillo,29,Colombia,Fútbol Club Juárez,"
2021 ~ 2025",174cm,74kg,Right,75,75,77,RW,0,"Jul 1, 2021",N/A,€5.5M,€13K,1958,428,1 
230250,Emilio Piodão,29,Brazil,Bahia,"
2021 ~ 2024",177cm,78kg,Right,75,75,75,CDM,0,"Jun 30, 2021",N/A,€4.8M,€13K,2035,424,1 
231786,A. Šporar,27,Slovenia,Sporting CP,"
2020 ~ 2025",186cm,82kg,Right,75,76,76,ST,1,"Jan 23, 2020",N/A,€6.5M,€14K,1775,378,1 
242794,I. Louza,22,France,Watford,"
2021 ~ 2026",178cm,65kg,Left,75,81,77,CM,6,"Jul 1, 2021",N/A,€9M,€40K,1876,391,1 
215147,L. Giannetti,27,Argentina,Vélez Sarsfield,"
2012 ~ 2022",184cm,79kg,Right,75,77,77,CB,2,"Mar 1, 2012",N/A,€6M,€14K,1658,368,1 
185195,O. Ighalo,32,Nigeria,Al Shabab,"
2021 ~ 2023",183cm,73kg,Right,75,75,75,ST,0,"Feb 4, 2021",N/A,€4.6M,€34K,1905,399,2 
190059,S. Zuber,29,Switzerland,Eintracht Frankfurt,"
2020 ~ 2023",182cm,79kg,Right,75,75,75,LM,0,"Aug 4, 2020",N/A,€5.5M,€27K,2055,440,2 
230252,Jorginhson,29,Brazil,Ceará Sporting Club,"
2021 ~ 2024",178cm,75kg,Left,75,75,75,CDM,0,"Jul 7, 2021",N/A,€4.8M,€13K,1923,409,1 
188268,L. Acosta,33,Argentina,Club Atlético Lanús,"
2013 ~ 2022",169cm,67kg,Right,75,75,75,LW,0,"Jul 13, 2013",N/A,€3.5M,€18K,1990,414,1 
193133,J. Larsen,30,Denmark,Udinese Calcio,"
2017 ~ 2022",180cm,82kg,Right,75,75,75,RM,0,"Aug 25, 2017",N/A,€5.5M,€17K,1995,433,1 
259694,Mingueza,22,Spain,FC Barcelona,"
2017 ~ 2023",184cm,77kg,Right,75,83,77,CB,8,"Jul 1, 2017",N/A,€12M,€76K,1787,387,1 
207471,F. Vázquez,32,Argentina,Parma,"
2021 ~ 2023",187cm,82kg,Left,75,75,76,CAM,0,"Jul 1, 2021",N/A,€4.4M,€29K,1946,410,2 
214639,Postigo,32,Spain,Levante Unión Deportiva,"
2016 ~ 2023",185cm,78kg,Right,75,75,75,CB,0,"Jul 16, 2016",N/A,€3.6M,€23K,1662,371,1 
199792,A. Christiansen,31,Denmark,Malmö FF,"
2018 ~ 2024",175cm,68kg,Right,75,75,75,CM,0,"Jul 15, 2018",N/A,€4.6M,€9K,2071,436,1 
231280,Iván Alejo,26,Spain,Cádiz CF,"
2020 ~ 2025",184cm,76kg,Right,75,76,75,RM,1,"Aug 4, 2020",N/A,€6.5M,€27K,1871,410,1 
237681,T. Kubo,20,Japan,RCD Mallorca,"
Jun 30, 2022 On Loan",173cm,67kg,Left,75,88,76,CAM,13,"Jul 1, 2019","Jun 30, 2022",€13.5M,€77K,1821,393,1 
235634,G. Konan,25,Côte d'Ivoire,Stade de Reims,"
2018 ~ 2022",176cm,71kg,Left,75,78,75,LB,3,"Jul 1, 2018",N/A,€7M,€21K,1888,411,1 
142707,L. López,38,Argentina,Racing Club,"
2021 ~ 2022",174cm,74kg,Right,75,75,75,ST,0,"Jun 22, 2021",N/A,€1.9M,€15K,1944,397,2 
214132,Y. Chará,30,Colombia,Portland Timbers,"
2020 ~ 2021",165cm,68kg,Right,75,75,75,RM,0,"Jan 2, 2020",N/A,€5.5M,€9K,1947,430,3 
190324,C. Kabasele,30,Belgium,Watford,"
2016 ~ 2023",188cm,84kg,Right,75,75,75,CB,0,"Jul 1, 2016",N/A,€4.6M,€42K,1748,381,1 
209781,P. Capelle,34,France,Angers SCO,"
2015 ~ 2022",181cm,73kg,Left,75,75,75,RM,0,"Jul 1, 2015",N/A,€2.6M,€22K,2064,427,2 
225653,G. Kerk,25,Netherlands,FC Utrecht,"
2013 ~ 2023",184cm,82kg,Right,75,77,76,RM,2,"Apr 27, 2013",N/A,€7M,€17K,1872,411,1 
229749,A. Barboza,26,Argentina,Club Libertad,"
2021 ~ 2024",193cm,70kg,Left,75,78,77,CB,3,"Feb 11, 2021",N/A,€6.5M,€1K,1838,389,1 
230005,T. Davies,23,England,Everton,"
2015 ~ 2023",180cm,70kg,Right,75,79,77,CM,4,"Sep 30, 2015",N/A,€8M,€55K,1952,417,1 
190581,U. Dávila,30,Mexico,Macarthur FC,"
2021 ~ 2024",172cm,65kg,Left,75,75,75,CAM,0,"Jul 8, 2021",N/A,€5.5M,€6K,1975,415,1 
200054,Pedro Obiang,29,Equatorial Guinea,U.S. Sassuolo Calcio,"
2019 ~ 2023",185cm,75kg,Right,75,75,75,CDM,0,"Jul 24, 2019",N/A,€4.8M,€28K,1929,408,2 
209782,S. Larsson,28,Sweden,Dalian Professional Football Club,"
2020 ~ 2023",180cm,70kg,Right,75,75,76,CAM,0,"Feb 28, 2020",N/A,€5.5M,€18K,1878,398,1 
234102,I. Radu,24,Romania,Inter,"
2013 ~ 2024",188cm,78kg,Right,75,80,75,GK,5,"Aug 13, 2013",N/A,€7M,€43K,1142,415,1 
213367,L. Abergel,28,France,FC Lorient,"
2019 ~ 2025",170cm,65kg,Right,75,76,75,CDM,1,"Jul 26, 2019",N/A,€5.5M,€18K,1892,408,1 
157304,T. Vermaelen,35,Belgium,Vissel Kobe,"
2019 ~ 2022",183cm,80kg,Left,75,75,75,CB,0,"Jul 27, 2019",N/A,€1.5M,€7K,1827,381,3 
226168,M. Eggestein,24,Germany,SV Werder Bremen,"
2014 ~ 2023",181cm,75kg,Right,75,81,77,CM,6,"Nov 29, 2014",N/A,€9M,€11K,1993,425,2 
207993,S. Kolašinac,28,Bosnia and Herzegovina,Arsenal,"
2017 ~ 2022",183cm,86kg,Left,75,75,75,LB,0,"Jul 1, 2017",N/A,€5M,€60K,1971,433,2 
225147,C. Roberts,25,Wales,Swansea City,"
2014 ~ 2022",175cm,76kg,Right,75,78,75,RWB,3,"Apr 15, 2014",N/A,€7M,€24K,1816,401,1 
169595,D. Rose,30,England,Watford,"
2021 ~ 2023",174cm,76kg,Left,75,75,75,LB,0,"Jul 1, 2021",N/A,€4.8M,€42K,1985,418,2 
177019,F. Lustenberger,33,Switzerland,BSC Young Boys,"
2019 ~ 2022",182cm,73kg,Right,75,75,75,CB,0,"Jul 1, 2019",N/A,€2.7M,€15K,1714,357,2 
197756,J. Ayew,29,Ghana,Crystal Palace,"
2019 ~ 2022",182cm,81kg,Right,75,75,75,ST,0,"Jul 25, 2019",N/A,€5.5M,€52K,1973,416,2 
216700,M. Meza,28,Argentina,CF Monterrey ,"
2019 ~ 2021",181cm,80kg,Right,75,75,75,RW,0,"Jan 1, 2019",N/A,€5.5M,€47K,1948,419,1 
228732,H. Moukoudi,23,Cameroon,AS Saint-Étienne,"
2019 ~ 2023",191cm,74kg,Right,75,80,77,CB,5,"Jul 1, 2019",N/A,€7.5M,€23K,1546,339,1 
230524,Formosandrinho,29,Brazil,Clube Atlético Mineiro,"
2021 ~ 2024",178cm,72kg,Right,75,75,75,ST,0,"Jul 5, 2021",N/A,€5.5M,€35K,1745,371,1 
213629,E. Pulgar,27,Chile,Fiorentina,"
2019 ~ 2023",187cm,74kg,Right,75,77,76,CDM,2,"Aug 9, 2019",N/A,€6M,€40K,2053,419,1 
221053,E. Gómez,27,Argentina,Argentinos Juniors,"
2020 ~ 2023",174cm,79kg,Left,75,75,75,LB,0,"Jan 3, 2020",N/A,€5.5M,€13K,1943,421,1 
235389,C. Rodríguez,24,Mexico,CF Monterrey ,"
2016 ~ 2023",176cm,66kg,Right,75,82,77,CM,7,"Jun 8, 2016",N/A,€11M,€36K,1956,419,1 
251517,J. Gvardiol,19,Croatia,RB Leipzig,"
2021 ~ 2026",185cm,80kg,Left,75,87,77,CB,12,"Jul 1, 2021",N/A,€12.5M,€27K,1966,429,1 
200318,M. Uth,29,Germany,1. FC Köln,"
2021 ~ 2023",185cm,72kg,Left,75,75,75,CAM,0,"Jul 1, 2021",N/A,€5.5M,€27K,1946,406,2 
229758,R. Krunić,27,Bosnia and Herzegovina,AC Milan,"
2019 ~ 2024",184cm,74kg,Right,75,75,75,CM,0,"Jul 8, 2019",N/A,€6M,€33K,2036,427,1 
235134,P. Rosario,24,Netherlands,OGC Nice,"
2021 ~ 2025",188cm,73kg,Right,75,79,76,CDM,4,"Jul 27, 2021",N/A,€7.5M,€23K,1943,421,1 
216447,Álvaro García,28,Spain,Rayo Vallecano,"
2018 ~ 2023",167cm,61kg,Left,75,75,75,LM,0,"Aug 23, 2018",N/A,€5.5M,€20K,1797,375,1 
230528,Rafael Cachoira,21,Brazil,RB Bragantino,"
2021 ~ 2024",188cm,84kg,Right,75,75,75,CB,0,"Jul 5, 2021",N/A,€6M,€11K,1717,363,1 
205953,João Paulo,30,Brazil,Seattle Sounders FC,"
2020 ~ 2022",171cm,71kg,Right,75,75,75,CM,0,"Jan 31, 2020",N/A,€5.5M,€9K,1975,420,1 
192129,K. Nordfeldt,32,Sweden,AIK,"
2021 ~ 2021",188cm,87kg,Right,75,75,75,GK,0,"Aug 9, 2021",N/A,€2.8M,€7K,1237,415,1 
241026,T. Chancalay,22,Argentina,Racing Club,"
Dec 31, 2021 On Loan",179cm,74kg,Right,75,84,76,RM,9,"Feb 10, 2017","Dec 31, 2021",€12.5M,€12K,1899,404,1 
195202,T. Cairney,30,Scotland,Fulham,"
2015 ~ 2024",186cm,84kg,Left,75,75,75,CAM,0,"Jun 26, 2015",N/A,€5.5M,€49K,1973,416,1 
183427,F. Delph,31,England,Everton,"
2019 ~ 2022",174cm,78kg,Left,75,75,75,CDM,0,"Jul 15, 2019",N/A,€3.9M,€58K,2015,417,2 
201860,E. Bičakčić,31,Bosnia and Herzegovina,TSG Hoffenheim,"
2014 ~ 2022",185cm,85kg,Right,75,75,75,CB,0,"Jul 1, 2014",N/A,€3.8M,€28K,1643,346,2 
216452,Gonçalo Paciência,26,Portugal,Eintracht Frankfurt,"
2018 ~ 2023",184cm,79kg,Right,75,76,76,ST,1,"Jul 12, 2018",N/A,€6.5M,€28K,1833,376,1 
229764,Córdoba,24,Spain,Athletic Club de Bilbao,"
2015 ~ 2022",180cm,73kg,Left,75,81,77,LM,6,"Jul 1, 2015",N/A,€9M,€23K,2008,434,1 
201862,M. Rojo,31,Argentina,Boca Juniors,"
2021 ~ 2022",186cm,82kg,Left,75,75,75,CB,0,"Feb 2, 2021",N/A,€3.8M,€15K,1891,395,3 
188038,O. Čelůstka,32,Czech Republic,AC Sparta Praha,"
2020 ~ 2023",186cm,80kg,Right,75,75,75,CB,0,"Aug 4, 2020",N/A,€3.6M,€1K,1881,400,1 
193158,D. Pröpper,29,Netherlands,PSV,"
2021 ~ 2023",185cm,79kg,Right,75,75,75,CM,0,"Jul 1, 2021",N/A,€5.5M,€18K,2023,414,2 
220295,E. Valencia,31,Ecuador,Fenerbahçe SK,"
2020 ~ 2023",177cm,74kg,Right,75,75,75,ST,0,"Aug 28, 2020",N/A,€4.8M,€45K,1984,422,2 
179847,F. Fazio,34,Argentina,Roma,"
2017 ~ 2022",195cm,85kg,Right,75,75,75,CB,0,"Jul 15, 2017",N/A,€1.8M,€39K,1539,333,3 
204936,J. Egan,28,Republic of Ireland,Sheffield United,"
2018 ~ 2024",185cm,75kg,Right,75,77,77,CB,2,"Jul 19, 2018",N/A,€5.5M,€26K,1740,378,1 
208520,H. Sakai,31,Japan,Urawa Red Diamonds,"
2021 ~ 2023",185cm,78kg,Right,75,75,75,RB,0,"Jul 1, 2021",N/A,€4.1M,€12K,1899,407,2 
237960,Mama Baldé,25,Guinea Bissau,ESTAC Troyes,"
2021 ~ 2025",176cm,69kg,Right,75,77,77,ST,2,"Aug 1, 2021",N/A,€7M,€19K,2000,432,1 
209289,Kévin Rodrigues,27,Portugal,Rayo Vallecano,"
Jun 30, 2022 On Loan",170cm,70kg,Left,75,76,75,LB,1,"Jul 1, 2015","Jun 30, 2022",€6M,€26K,1937,411,1 
225161,Vallejo,24,Spain,Real Madrid CF,"
2015 ~ 2024",184cm,79kg,Right,75,79,77,CB,4,"Jul 31, 2015",N/A,€7M,€82K,1718,374,1 
233866,O. Edouard,23,France,Celtic,"
2018 ~ 2022",187cm,83kg,Right,75,83,77,CAM,8,"Jul 1, 2018",N/A,€12.5M,€44K,1965,423,1 
213899,É. Balanta,28,Colombia,Club Brugge KV,"
2019 ~ 2024",181cm,84kg,Left,75,76,76,CB,1,"Sep 2, 2019",N/A,€5.5M,€22K,1814,395,1 
228236,S. Deli,29,Côte d'Ivoire,Club Brugge KV,"
2019 ~ 2022",192cm,86kg,Left,75,76,76,CB,1,"Jul 10, 2019",N/A,€5M,€22K,1767,387,1 
189324,A. McCarthy,31,England,Southampton,"
2016 ~ 2022",193cm,79kg,Right,75,75,75,GK,0,"Aug 1, 2016",N/A,€3M,€34K,1246,421,1 
205965,S. Ristovski,29,North Macedonia,Dinamo Zagreb,"
2021 ~ 2025",180cm,72kg,Right,75,75,75,RB,0,"Feb 2, 2021",N/A,€4.9M,€900,1961,427,1 
223885,A. Nübel,24,Germany,AS Monaco,"
Jun 30, 2023 On Loan",193cm,88kg,Right,75,80,75,GK,5,"Jul 1, 2020","Jun 30, 2023",€7M,€34K,1195,419,1 
243854,M. Simakan,21,France,RB Leipzig,"
2021 ~ 2026",187cm,82kg,Right,75,85,77,CB,10,"Jul 1, 2021",N/A,€12M,€36K,1745,382,1 
198032,D. Burn,29,England,Brighton & Hove Albion,"
2018 ~ 2023",198cm,87kg,Left,75,75,75,CB,0,"Aug 9, 2018",N/A,€4.7M,€46K,1635,356,1 
204688,S. Schwab,30,Austria,PAOK,"
2020 ~ 2022",183cm,78kg,Left,75,75,75,CM,0,"Aug 3, 2020",N/A,€5.5M,€1K,2074,431,1 
242577,R. Faivre,22,France,Stade Brestois 29,"
2020 ~ 2025",180cm,69kg,Left,75,83,77,CAM,8,"Jul 1, 2020",N/A,€12.5M,€16K,2026,423,2 
216466,Wendell,27,Brazil,Bayer 04 Leverkusen,"
2014 ~ 2022",176cm,72kg,Left,75,75,75,LB,0,"Jul 1, 2014",N/A,€5.5M,€38K,1967,417,2 
161938,M. Boselli,36,Argentina,Club Cerro Porteño,"
2021 ~ 2021",185cm,75kg,Right,75,75,75,ST,0,"Jan 12, 2021",N/A,€1.9M,€900,1807,378,1 
231826,Y. Karamoh,22,France,Parma,"
2020 ~ 2023",185cm,77kg,Right,75,79,77,CAM,4,"Sep 1, 2020",N/A,€8M,€25K,1800,387,1 
241042,O. Skipp,20,England,Tottenham Hotspur,"
2018 ~ 2024",178cm,70kg,Right,75,85,76,CDM,10,"Aug 29, 2018",N/A,€11.5M,€44K,1773,383,1 
